video_id,likes,dislikes,comment_count,thumbnail_link
3DflRo_Vids,470,104,119,https://i.ytimg.com/vi/3DflRo_Vids/default.jpg
P4YJwy_T9pM,31892,197,1404,https://i.ytimg.com/vi/P4YJwy_T9pM/default.jpg
vd4zwINEcLY,909,52,193,https://i.ytimg.com/vi/vd4zwINEcLY/default.jpg
4FDpjKdlIxA,801,202,915,https://i.ytimg.com/vi/4FDpjKdlIxA/default.jpg
CR9zYgr84QY,5723,55,263,https://i.ytimg.com/vi/CR9zYgr84QY/default.jpg
ssbOzbL1SJQ,1826,91,442,https://i.ytimg.com/vi/ssbOzbL1SJQ/default.jpg
1KVBFtSuCm0,401,58,48,https://i.ytimg.com/vi/1KVBFtSuCm0/default.jpg
YInRqgNMLBc,293,9,69,https://i.ytimg.com/vi/YInRqgNMLBc/default.jpg
949vJMp0v40,342,50,33,https://i.ytimg.com/vi/949vJMp0v40/default.jpg
sECcOTO8Ij4,37439,590,6654,https://i.ytimg.com/vi/sECcOTO8Ij4/default.jpg
sF1l7v3XY6I,5039,101,271,https://i.ytimg.com/vi/sF1l7v3XY6I/default.jpg
wjy9Jgnjv6U,5675,41,533,https://i.ytimg.com/vi/wjy9Jgnjv6U/default.jpg
FUzs2oMEs8w,9223,121,1085,https://i.ytimg.com/vi/FUzs2oMEs8w/default.jpg
vHCvmZlC5jQ,0,0,0,https://i.ytimg.com/vi/vHCvmZlC5jQ/default.jpg
Fkwkn7vXpWI,1029,30,91,https://i.ytimg.com/vi/Fkwkn7vXpWI/default.jpg
d8RW-WSpAhQ,1861,132,275,https://i.ytimg.com/vi/d8RW-WSpAhQ/default.jpg
G1Ky9-OoWyo,33608,1846,13625,https://i.ytimg.com/vi/G1Ky9-OoWyo/default.jpg
54Eae2ewc1c,343,15,24,https://i.ytimg.com/vi/54Eae2ewc1c/default.jpg
PoNWU2cox9w,16352,224,841,https://i.ytimg.com/vi/PoNWU2cox9w/default.jpg
mwpHSMv1pI4,15130,223,1143,https://i.ytimg.com/vi/mwpHSMv1pI4/default.jpg
cpvoCLX8agc,53,0,33,https://i.ytimg.com/vi/cpvoCLX8agc/default.jpg
