video_id,views,likes,dislikes,comment_count,thumbnail_link
9xSx-5tmq44,291597,8209,344,1062,https://i.ytimg.com/vi/9xSx-5tmq44/default.jpg
4v0nOAzcG2A,290801,10237,377,1016,https://i.ytimg.com/vi/4v0nOAzcG2A/default.jpg
oTObwUiXdYY,5304,52,13,68,https://i.ytimg.com/vi/oTObwUiXdYY/default.jpg
1cgK-BIrXes,812516,26917,1979,4998,https://i.ytimg.com/vi/1cgK-BIrXes/default.jpg
ujyTQNNjjDU,2642930,115795,3055,6410,https://i.ytimg.com/vi/ujyTQNNjjDU/default.jpg
PABlVzeldaM,105058,493,54,347,https://i.ytimg.com/vi/PABlVzeldaM/default.jpg
6340tX9M_eM,537715,8231,413,970,https://i.ytimg.com/vi/6340tX9M_eM/default.jpg
8mhTWqWlQzU,2744430,115426,1110,6541,https://i.ytimg.com/vi/8mhTWqWlQzU/default.jpg
t4YAyT4ihIQ,3358068,120876,8279,6408,https://i.ytimg.com/vi/t4YAyT4ihIQ/default.jpg
MNiweoKXwfg,4732,203,6,33,https://i.ytimg.com/vi/MNiweoKXwfg/default.jpg
Jw1Y-zhQURU,7224515,55681,10247,9479,https://i.ytimg.com/vi/Jw1Y-zhQURU/default.jpg
2Vv-BfVoq4g,33523622,1634124,21082,85067,https://i.ytimg.com/vi/2Vv-BfVoq4g/default.jpg
UFYCTJlayS4,52591,2233,187,255,https://i.ytimg.com/vi/UFYCTJlayS4/default.jpg
cccyOn99s4Y,75822,2978,147,243,https://i.ytimg.com/vi/cccyOn99s4Y/default.jpg
abGCYPCk294,43715,1550,109,1031,https://i.ytimg.com/vi/abGCYPCk294/default.jpg
lY_0mkYDZDU,303956,18603,585,1745,https://i.ytimg.com/vi/lY_0mkYDZDU/default.jpg
k8NxqyGcZA4,238643,2429,5381,2325,https://i.ytimg.com/vi/k8NxqyGcZA4/default.jpg
IE-xepGLVt8,237307,1896,74,260,https://i.ytimg.com/vi/IE-xepGLVt8/default.jpg
ObIQ0s02UHg,1282413,37669,1732,1691,https://i.ytimg.com/vi/ObIQ0s02UHg/default.jpg
cOc3tsFWoRs,1497519,15504,353,1084,https://i.ytimg.com/vi/cOc3tsFWoRs/default.jpg
AJYb0Yom5UQ,148226,355,47,178,https://i.ytimg.com/vi/AJYb0Yom5UQ/default.jpg
gLswXiRLdkA,484185,23296,1184,1858,https://i.ytimg.com/vi/gLswXiRLdkA/default.jpg
MyEqfBkzESU,300617,8133,2693,2911,https://i.ytimg.com/vi/MyEqfBkzESU/default.jpg
wJYE0sFOteE,92523,2323,40,134,https://i.ytimg.com/vi/wJYE0sFOteE/default.jpg
L_5_slz4ke4,7524,67,19,56,https://i.ytimg.com/vi/L_5_slz4ke4/default.jpg
OKoL852K9uA,103927,3571,278,399,https://i.ytimg.com/vi/OKoL852K9uA/default.jpg
pa_oUisZZy0,177707,6271,88,275,https://i.ytimg.com/vi/pa_oUisZZy0/default.jpg
fNtLIcyjsnI,1751064,16430,945,1231,https://i.ytimg.com/vi/fNtLIcyjsnI/default.jpg
_Iz83-Cmt6A,46746,439,66,55,https://i.ytimg.com/vi/_Iz83-Cmt6A/default.jpg
YlvCVbfS9M0,746092,34839,537,2541,https://i.ytimg.com/vi/YlvCVbfS9M0/default.jpg
arJ5h2TY3I4,836830,82320,1279,7998,https://i.ytimg.com/vi/arJ5h2TY3I4/default.jpg
-2RVw2_QyxQ,67429,438,23,23,https://i.ytimg.com/vi/-2RVw2_QyxQ/default.jpg
gEHCXl4J9Qo,2237404,72593,1830,3501,https://i.ytimg.com/vi/gEHCXl4J9Qo/default.jpg
#NAME?,45455,2282,35,17,https://i.ytimg.com/vi/-OK9i1_YYYc/default.jpg
b4vTZx_AtHk,2063667,98804,11682,11443,https://i.ytimg.com/vi/b4vTZx_AtHk/default.jpg
kOnQocd799Y,2736733,58967,3492,7915,https://i.ytimg.com/vi/kOnQocd799Y/default.jpg
e4FApt6z55c,165698,8599,361,930,https://i.ytimg.com/vi/e4FApt6z55c/default.jpg
2XK4omx9uMU,836544,40195,373,976,https://i.ytimg.com/vi/2XK4omx9uMU/default.jpg
xfmipNU4Odc,284666,16396,81,949,https://i.ytimg.com/vi/xfmipNU4Odc/default.jpg
jp9hK-jY6yY,3371669,202676,3394,20086,https://i.ytimg.com/vi/jp9hK-jY6yY/default.jpg
RkHuWjiR-LM,195685,14338,171,1070,https://i.ytimg.com/vi/RkHuWjiR-LM/default.jpg
fCTKDn3Q8xQ,1098897,43875,1326,4702,https://i.ytimg.com/vi/fCTKDn3Q8xQ/default.jpg
DIU3xPdhCBI,893462,22326,833,943,https://i.ytimg.com/vi/DIU3xPdhCBI/default.jpg
wnwF1FHybDQ,225286,1731,193,206,https://i.ytimg.com/vi/wnwF1FHybDQ/default.jpg
9oFP-pOMNwE,264793,3283,853,0,https://i.ytimg.com/vi/9oFP-pOMNwE/default.jpg
pz95u3UVpaM,5476737,286268,4083,12254,https://i.ytimg.com/vi/pz95u3UVpaM/default.jpg
g5c1bk8weaQ,3578502,307435,2573,12248,https://i.ytimg.com/vi/g5c1bk8weaQ/default.jpg
yuBqWcSKrCk,304926,3305,130,275,https://i.ytimg.com/vi/yuBqWcSKrCk/default.jpg
x9mh-SwSKas,247319,10138,153,639,https://i.ytimg.com/vi/x9mh-SwSKas/default.jpg
uiA4B5Y63IQ,296434,3327,142,377,https://i.ytimg.com/vi/uiA4B5Y63IQ/default.jpg
viyRD5z6ilQ,125962,5048,139,369,https://i.ytimg.com/vi/viyRD5z6ilQ/default.jpg
QFfEtKvXMAs,419341,53572,168,3083,https://i.ytimg.com/vi/QFfEtKvXMAs/default.jpg
xg9ebVTL9yE,138988,7999,84,612,https://i.ytimg.com/vi/xg9ebVTL9yE/default.jpg
fbHbTBP_u7U,1774018,88417,1002,7686,https://i.ytimg.com/vi/fbHbTBP_u7U/default.jpg
Ja_GMU7-sjs,1575525,52829,1524,5864,https://i.ytimg.com/vi/Ja_GMU7-sjs/default.jpg
QOksZ8VogRw,626688,25115,499,1392,https://i.ytimg.com/vi/QOksZ8VogRw/default.jpg
RYs08kX3Ih4,219030,14303,398,1099,https://i.ytimg.com/vi/RYs08kX3Ih4/default.jpg
tOFkFZbPdnQ,493662,7693,181,388,https://i.ytimg.com/vi/tOFkFZbPdnQ/default.jpg
dW4wpGg64pE,1017803,25122,628,1504,https://i.ytimg.com/vi/dW4wpGg64pE/default.jpg
