7224515,55681,10247,9479
1053632,25561,2294,2757
17158579,787420,43420,125882
27833,193,12,37
9815,30,2,30
1182775,52708,1431,2333
33523622,1634124,21082,85067
1164201,57309,749,624
154494,2163,147,211
9548677,190084,15015,11473
306724,9591,266,448
254314,1746,125,298
946859,37986,816,2006
300617,8133,2693,2911
2063667,98804,11682,11443
728547,12553,2146,1143
893462,22326,833,943
5476738,286269,4083,12254
3371669,202676,3394,20086
2237404,72593,1830,3501
238843,10028,248,650
5541767,263918,1502,10706
3407008,207262,3167,13279
626688,25115,499,1392
74934,4577,292,440
1575525,52829,1524,5864
86296,629,77,642
110769,5029,81,305
3578502,307435,2573,12248
28960,399,14,114
138988,7999,84,612
1624771,84426,1130,5981
71231,1881,182,316
3308,240,16,42
5331049,126078,10294,5903
2464,33,6,9
82639,1267,38,189
91776,4604,46,357
419341,53572,168,3083
422874,4935,177,202
426078,19323,245,945
151709,9210,71,1103
1231518,32648,6221,9288
181351,3946,295,335
269950,11107,212,1580
332967,22303,700,1523
76940,3872,16,558
1905487,65854,2442,4490
219030,14303,398,1099
613492,5376,202,460
135337,7158,89,318
113988,6016,231,356
9632678,810895,16139,59482
2794165,8874,939,1439
294387,15247,385,976
53985,915,12,60
77630,1991,83,208
1390440,86207,1775,710
3037613,91393,2766,7176
42479,42,8,98
812516,26917,1979,4998
370638,470,104,119
691229,31892,197,1404
95085,909,52,193
47610,801,202,915
122669,5723,55,263
214617,1826,91,442
541947,401,58,48
156822,293,9,69
29575,342,50,33
1062094,37439,590,6654
104865,5039,101,271
146530,5675,41,533
158767,9223,121,1085
735972,0,0,0
26189,1029,30,91
408549,1861,132,275
747313,33608,1846,13625
62866,343,15,24
704363,16352,224,841
359120,15130,223,1143
33746,53,0,33
102184,4517,65,603
6440859,329112,9704,17556
1053494,46809,3386,6803
1461166,65224,1824,5596
189374,861,63,428
1101771,24917,464,936
212614,6222,342,319
87772,2617,86,192
1689382,24186,3330,3414
16846215,258900,33231,34911
1189325,21859,7016,11869
622041,15706,353,2104
286408,3687,320,1604
6383663,316314,4826,23030
245269,7641,187,472
665232,6485,714,2497
192138,6909,158,523
2726528,154747,1684,10318
1962197,137132,2196,11809
169462,6065,116,579
3952653,340983,1768,31872
131756,9318,85,667
10676,812,15,193
63432,3746,76,505
226202,2734,360,503
205869,11198,120,446
53253,184,187,83
80499,5719,28,914
229753,2925,208,803
1160827,4979,397,3104
356364,14775,194,1604
85851,2266,367,73
593668,21969,294,2062
12512,460,7,97
728177,4007,71,240
24412837,248684,8972,0
2152,45,0,9
51301,1654,87,166
133557,1035,62,60
165847,6850,378,836
411609,14285,517,3577
52250,1550,26,40
1205578,12193,346,4337
1498866,67227,1473,4645
180032,2666,120,657
175198,2619,1767,1057
95090,3776,91,320
2948664,115031,13504,11789
172393,3936,54,508
28202,770,30,63
16473,803,13,153
79683,2470,96,120
99578,570,42,96
64691,5540,42,954
89033,3386,32,142
12924004,190116,16758,11083
7309863,135719,3422,25986
109148,3222,62,539
361145,14797,1348,2913
1703026,51996,8415,9422
154841,2271,52,381
727869,26382,613,2494
15466,677,8,139
19971162,694768,20257,50164
464445,19191,1659,966
385348,35589,508,4226
391872,18426,214,870
2088254,119584,1021,8809
3676763,109082,8251,6312
313094,11311,428,241
2371911,36173,1587,2642
404124,2412,283,1044
13982464,208521,8489,11579
4210732,129667,856,4299
407075,5819,598,2815
167160,4008,54,646
935966,18099,262,886
83794,83,108,74
20387,1322,68,68
690536,9314,654,523
1230775,41114,636,2720
372126,10235,311,311
4211590,226648,3372,28700
11883966,211873,12903,10619
5962293,87577,2199,8395
909346,27028,577,1623
977942,7220,451,0
516747,12431,171,524
136475,2764,271,440
475592,4924,147,292
1000660,24418,570,926
333552,13372,454,1010
696954,10160,501,702
7827820,413512,8120,19807
1053402,47309,1408,2407
844577,30058,494,955
258812,14811,251,936
201734,13990,93,1115
209225,8023,373,2632
1172090,27245,931,4899
429220,48822,408,5571
1910592,42890,285,2049
1530286,53959,1434,2953
154054,16,10,19
131500,3770,116,514
44921,688,19,0
354488,10526,1052,1536
289543,7658,224,467
174643,17232,324,1014
2030890,45008,910,3533
213094,2951,339,193
163048,8921,193,809
750287,8010,149,320
3534066,17362,2322,9793
671425,8050,125,405
3701763,56561,2495,11608
2765121,35529,1705,2388
446733,33256,994,2855
1611093,58474,837,3294
104291,3708,64,327
1086201,24341,546,1693
544899,11586,434,2099
27065,1102,36,139
2285136,180284,3399,11700
257854,14414,186,633
58290,2369,78,201
77458,357,38,69
76238,2152,144,400
198666,1110,389,1020
20925,2275,7,144
1778271,18265,1632,1480
92705,2620,124,220
39084,1440,46,127
20539417,840642,47715,124236
128523,4170,148,307
27533,2376,14,128
7563254,58209,10859,7120
1069149,51873,586,0
96856,19130,39,880
134856,3738,125,866
180606,2400,159,239
12987863,216319,17751,12133
39082222,1721384,23137,90352
342336,10010,303,521
1259016,42866,992,2045
278845,1835,138,327
366892,9052,2993,3088
15695,1093,10,147
21287,1044,15,80
1137392,26180,992,1055
2244971,101831,12677,11863
250939,10311,266,636
6555658,299046,4502,12185
788654,13035,2227,1141
3591699,212004,3528,20418
797436,29425,585,1497
5905916,274103,1573,11193
2498463,75023,1925,3483
7372183,143679,12130,6367
117822,5219,88,313
442304,4883,152,1855
78393,1974,210,346
4757,48,9,15
1646057,53901,1566,5963
482334,55001,184,3027
3741812,314872,2647,12114
1882868,88072,1219,6083
178313,9072,98,656
5674,323,27,74
1505,88,12,40
96304,672,80,695
105611,1500,45,208
467804,19962,268,953
431064,4969,179,195
114243,5078,51,371
157784,9403,73,1127
1440724,36686,6598,9637
97567,4514,18,698
280864,11332,215,1574
157037,7800,96,326
188127,4044,298,336
2192420,70471,2670,4639
353204,22975,721,1500
1447205,88047,2104,898
2841719,9076,971,1453
321886,17279,158,952
646028,5509,205,453
3197694,93970,2820,7325
232083,14766,408,1107
10520464,830799,16898,60113
116321,6146,238,354
228039,1908,99,444
308352,15765,399,984
835573,27068,2021,5165
382504,487,109,127
55965,869,220,966
81222,2042,83,211
825717,36257,225,1534
96201,909,52,188
167599,297,9,64
1094737,37974,596,6705
46770,44,10,99
568647,417,58,46
128209,5859,57,272
34155,361,54,33
107031,5119,104,266
825431,35417,2011,13747
182682,9588,124,1118
409623,1861,132,275
742287,0,0,0
226317,11702,125,471
27886,1071,32,95
150753,5748,42,541
369238,15443,225,1149
803844,17450,257,865
1153057,26074,479,942
231213,6426,362,315
64886,371,15,25
33965,54,1,37
105140,4563,66,604
744291,18323,391,2579
190454,868,65,430
160381,1168,1170,0
1500067,65867,1836,5638
291260,3722,323,1632
17072912,262922,33839,35583
1109983,47914,3456,6958
268024,8287,205,499
7161776,336093,9993,17730
94446,1162,102,313
192122,6372,130,600
678154,6553,721,2516
6899335,325215,4999,23548
3020940,159930,1767,10289
133926,9380,87,673
4385070,352306,1871,33382
11002,829,15,195
65182,3798,78,508
2034860,138815,2239,11894
232816,2770,368,518
54374,186,190,83
82718,5795,30,928
230874,2933,210,595
1167109,5004,400,3130
361904,14858,195,1639
93603,2306,389,79
643168,22383,299,2100
12696,464,7,97
28988362,276687,10528,0
729358,4016,71,240
2201,45,0,9
138743,1077,65,60
422116,14447,531,3612
1587053,68434,1532,4656
1211528,12208,346,4342
182978,2693,122,657
175808,2626,1770,1057
3028060,116500,13678,11930
175287,3971,54,511
29724,806,30,66
80522,2487,96,120
16939,809,13,153
101392,576,43,96
90549,3407,32,143
7484192,137175,3449,26243
111759,3249,62,539
366028,14918,1358,2942
1713045,52150,8428,9440
739807,26465,619,2526
161319,2395,57,389
21091562,701561,20632,50592
15818,686,8,141
392348,35895,511,4247
471206,19458,1667,973
400489,18723,215,861
16270552,225674,9764,12878
316423,11366,430,241
2441588,37105,1638,2692
2108637,120130,1023,8828
3742875,109847,8305,6383
405881,2420,282,1045
184075,4385,58,684
944592,18240,265,889
84021,84,108,74
6015269,87790,2206,8422
692588,9331,654,524
987765,7268,456,0
1243618,41351,636,2729
1017824,27971,622,1645
12948770,219804,13455,10737
4262625,227903,3403,28803
579856,13036,195,523
499023,4947,147,293
413151,10764,328,314
1044603,24593,580,926
739474,10377,513,723
936651,31019,528,960
344839,13621,460,1028
8178963,418714,8257,20099
139762,2807,273,444
2027451,46250,307,2173
259931,14846,251,938
205177,14099,95,1125
211718,8076,376,2644
436114,49129,411,5652
1192068,27508,943,4935
1546831,54261,1450,2973
154978,17,10,18
134067,3805,118,514
45036,689,19,0
357460,10563,1069,1539
301974,7740,232,468
3621389,141681,1289,8127
1559003,29898,884,1838
5531707,72727,3362,14816
1258937,114661,2509,11298
1450746,16653,830,1632
627820,25647,982,7047
1099126,58223,2511,4763
3842156,43972,2288,2854
2223948,76806,1169,4176
726260,17310,381,1823
338908,25407,228,3184
160597,4827,88,425
507753,35595,483,2176
61919,962,50,221
682131,13405,541,2435
138228,5776,185,167
91174,3145,116,230
665951,34806,565,1766
50614,1596,75,178
340294,16833,224,737
2814427,194199,3757,12409
89176,397,42,53
255034,1427,453,1220
87417,2284,178,353
1668922,33772,3077,3472
44667,1521,65,135
35390,865,25,202
22702386,869304,50018,123227
24601,2456,9,153
1137960,54428,626,0
136066,4355,158,318
96874,2696,132,227
10003,245,6,21
7727696,59673,11124,7350
161723,4301,142,938
30187,2496,16,134
108927,20069,49,990
68700,709,123,103
235294,1059,24,149
58368,290,24,65
43449654,1788960,24548,93428
360961,10266,320,528
15432746,233172,19513,12709
194610,2541,169,271
285219,1863,142,345
1462671,45893,1107,2086
17198,1125,15,149
23994,1106,17,85
390261,9474,3091,3207
1262652,28119,1047,1113
